Table 3.1E. Current-Cost Net Stock of Private Equipment by Industry
Table 3.1E. Current-Cost Net Stock of Private Equipment by Industry
"Last Revised on: September 26, 2025"
Line,,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
,,,,,,,,,,,,,,,,,
1,"        Private fixed assets",725.4,802.6,902.8,1030.7,1196.3,1386.2,1546.7,1639.7,1691.6,1781.0,1881.3,1990.0,2082.3,2207.0,2331.1,2455.3
2,"Agriculture, forestry, fishing, and hunting",58.0,65.3,73.1,82.5,97.3,108.4,120.6,123.4,121.3,119.0,115.1,113.0,109.7,110.6,113.2,117.3
3,"    Farms 1",54.1,60.6,67.8,76.2,89.6,99.4,109.8,111.9,109.3,106.6,102.2,99.7,96.1,96.6,98.6,101.7
4,"    Forestry, fishing, and related activities",4.0,4.7,5.3,6.3,7.7,9.1,10.9,11.5,12.0,12.4,12.9,13.4,13.6,14.0,14.5,15.5
5,Mining,23.3,26.9,32.1,38.8,47.7,60.2,77.1,84.7,85.0,87.5,89.6,87.4,86.0,87.4,87.7,88.3
6,"    Oil and gas extraction",6.1,6.7,7.7,9.7,12.8,18.3,27.5,32.7,34.1,36.2,37.6,36.9,36.3,36.5,36.6,36.7
7,"    Mining, except oil and gas",10.9,13.3,16.4,19.6,23.3,26.7,29.6,29.7,28.2,27.8,27.7,26.6,26.1,27.3,27.2,27.6
8,"    Support activities for mining",6.3,6.9,8.0,9.5,11.7,15.1,20.0,22.4,22.7,23.5,24.3,23.8,23.6,23.7,23.8,24.0
9,Utilities,57.9,64.0,73.1,81.0,94.3,111.2,120.4,128.2,133.9,143.5,157.2,171.9,182.2,193.9,207.6,219.4
10,"    Electric power",48.2,53.2,61.0,67.2,77.4,90.3,96.9,102.4,107.7,116.2,128.4,140.7,148.5,157.0,166.2,174.8
11,"    Natural gas distribution",8.9,9.7,11.1,12.6,15.3,19.0,21.6,23.8,24.0,24.7,25.5,26.7,27.8,29.9,33.2,35.2
12,"    Water, sewage, and other systems",0.8,1.0,1.1,1.3,1.5,1.8,1.9,2.0,2.2,2.7,3.3,4.5,5.8,7.0,8.3,9.4
13,Construction,27.0,28.5,31.8,36.7,41.6,45.2,47.3,45.3,43.0,42.6,42.9,43.8,44.4,45.0,47.2,49.2
14,Manufacturing,213.9,237.9,268.7,304.3,350.7,407.5,450.6,474.0,478.0,494.7,525.2,552.5,576.6,601.6,632.6,676.1
15,"    Durable goods",117.0,128.6,144.7,164.0,190.3,222.2,248.0,259.5,259.5,269.6,287.4,302.2,314.5,323.9,336.6,355.1
16,"    Wood products",5.0,5.4,6.2,7.1,8.3,9.4,9.9,9.8,9.4,9.4,9.7,10.0,10.4,10.6,10.9,11.3
17,"    Nonmetallic mineral products",9.7,10.6,11.6,13.3,15.2,17.7,19.1,19.4,18.9,19.2,20.4,21.3,22.3,22.8,23.6,24.6
18,"    Primary metals",30.7,33.7,37.6,41.2,46.3,52.6,56.8,58.2,57.7,57.7,59.1,59.4,60.4,61.9,63.8,66.5
19,"    Fabricated metal products",14.9,16.7,19.1,22.0,25.9,30.5,34.0,35.8,35.6,36.7,39.1,41.5,43.7,45.2,46.8,49.5
20,"    Machinery",12.5,13.8,15.6,18.1,21.5,25.7,29.4,31.7,32.5,34.4,37.0,38.9,40.6,42.1,43.7,46.1
21,"    Computer and electronic products",14.4,15.9,17.9,20.4,23.8,28.5,32.5,35.4,37.1,40.9,45.1,48.3,50.7,53.5,57.1,61.4
22,"    Electrical equipment, appliances, and components",5.2,5.7,6.3,7.1,8.2,9.8,10.9,11.8,12.4,13.8,15.2,16.3,16.7,17.2,17.9,18.9
23,"    Motor vehicles, bodies and trailers, and parts",13.2,14.1,16.1,18.7,21.9,25.4,30.0,30.1,27.9,27.9,29.9,31.9,33.4,32.7,33.3,35.2
24,"    Other transportation equipment",4.9,5.5,6.1,7.1,8.5,10.5,12.2,13.4,13.9,15.1,16.6,18.4,19.3,20.1,20.6,21.6
25,"    Furniture and related products",1.1,1.2,1.4,1.5,1.8,2.0,2.2,2.3,2.4,2.6,2.8,3.1,3.3,3.6,3.8,4.1
26,"    Miscellaneous manufacturing",5.3,6.0,6.8,7.6,8.8,10.1,11.0,11.6,11.5,11.9,12.5,13.0,13.8,14.4,15.1,15.8
27,"        Medical equipment and supplies",3.1,3.5,3.9,4.3,5.0,5.8,6.5,6.9,6.9,7.2,7.6,7.8,8.3,8.7,9.1,9.6
28,"        Other manufacturing",2.2,2.6,2.9,3.3,3.8,4.3,4.5,4.7,4.6,4.8,5.0,5.2,5.5,5.7,5.9,6.2
29,"    Nondurable goods",96.9,109.3,124.0,140.3,160.4,185.3,202.6,214.5,218.6,225.1,237.8,250.3,262.1,277.7,296.0,321.0
30,"        Food and beverage and tobacco products",20.0,22.2,24.9,28.4,32.7,38.2,42.4,45.6,47.1,49.2,52.5,55.7,58.5,62.0,65.4,70.1
31,"            Food manufacturing",16.7,18.6,20.9,23.7,27.2,31.7,35.0,37.4,38.4,40.0,42.5,44.9,47.3,50.2,53.2,57.2
32,"            Beverage and tobacco product manufacturing",3.3,3.6,4.1,4.7,5.4,6.5,7.4,8.2,8.7,9.2,10.0,10.8,11.2,11.7,12.2,12.9
