Table 3.1ESI. Current-Cost Net Stock of Private Fixed Assets by Industry
Table 3.1ESI. Current-Cost Net Stock of Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,1985,1986,1987,1988,1989,1990
,,,,,,,
1,"        Private fixed assets",9619.0,10230.8,10843.5,11536.2,12203.1,12773.6
2,"Agriculture, forestry, fishing, and hunting",251.9,253.2,253.2,257.4,263.1,269.4
3,"    Farms 1",235.1,235.5,234.9,238.5,243.5,248.4
4,"    Forestry, fishing, and related activities",16.9,17.7,18.3,18.9,19.7,21.0
5,Mining,421.8,389.0,376.9,400.8,405.5,431.8
6,"    Oil and gas extraction",317.2,286.2,274.6,295.5,298.9,322.8
7,"    Mining, except oil and gas",66.8,66.9,67.1,69.0,70.0,71.0
8,"    Support activities for mining",37.8,35.9,35.2,36.3,36.6,38.1
9,Utilities,600.0,626.4,664.2,708.7,747.9,774.5
10,"    Electric power",455.8,479.3,507.7,540.9,567.7,586.4
11,"    Natural gas distribution",135.0,136.1,143.3,152.9,163.4,169.2
12,"    Water, sewage, and other systems",9.2,11.1,13.2,14.9,16.9,18.8
13,Construction,66.8,69.0,71.0,73.3,77.6,81.3
14,Manufacturing,1116.0,1174.7,1233.0,1292.3,1360.6,1437.0
15,"    Durable goods",621.7,656.4,688.8,717.2,749.6,784.2
16,"    Wood products",20.3,21.0,21.6,22.2,22.8,23.5
17,"    Nonmetallic mineral products",40.8,42.8,44.7,46.1,47.9,49.8
18,"    Primary metals",105.5,106.7,108.5,111.0,114.1,117.8
19,"    Fabricated metal products",68.8,72.7,76.2,79.1,82.3,86.3
20,"    Machinery",77.9,81.5,84.9,88.3,92.4,97.1
21,"    Computer and electronic products",113.9,122.0,130.1,138.5,147.3,156.3
22,"    Electrical equipment, appliances, and components",35.5,37.3,38.2,39.5,41.1,42.9
23,"    Motor vehicles, bodies and trailers, and parts",61.5,66.6,70.6,71.9,75.0,78.8
24,"    Other transportation equipment",57.9,63.9,69.2,73.4,76.7,79.3
25,"    Furniture and related products",6.9,7.4,7.9,8.4,9.0,9.5
26,"    Miscellaneous manufacturing",32.7,34.5,36.9,38.8,41.0,43.1
27,"        Medical equipment and supplies",17.3,18.3,19.7,21.0,22.4,23.7
28,"        Other manufacturing",15.4,16.3,17.1,17.8,18.6,19.4
29,"    Nondurable goods",494.2,518.3,544.2,575.0,611.0,652.8
30,"        Food and beverage and tobacco products",111.3,117.5,123.2,129.5,136.3,144.0
31,"            Food manufacturing",89.7,94.5,98.9,104.3,110.0,116.5
32,"            Beverage and tobacco product manufacturing",21.6,23.0,24.3,25.3,26.3,27.4
33,"        Textile mills and textile product mills",29.7,30.9,32.2,33.6,35.0,36.6
34,"        Apparel and leather and allied products",9.9,10.4,10.8,11.3,11.8,12.3
35,"        Paper products",61.8,65.2,68.2,72.9,79.1,86.9
36,"        Printing and related support activities",21.1,22.9,24.5,26.2,28.0,30.0
37,"        Petroleum and coal products",78.3,80.8,83.0,85.0,87.4,90.4
38,"        Chemical products",150.4,156.8,166.1,178.4,192.3,208.2
39,"        Plastics and rubber products",31.8,33.9,36.0,38.1,41.1,44.3
40,Wholesale trade,158.1,171.8,182.0,193.7,203.4,210.9
41,"    Durable goods",108.8,118.0,125.1,133.4,140.0,145.3
42,"    Nondurable goods",49.3,53.8,56.9,60.4,63.4,65.6
43,Retail trade,253.5,274.6,294.9,318.9,341.3,362.7
44,"    Motor vehicle and parts dealers",63.1,68.3,73.1,78.9,84.4,89.8
45,"    Food and beverage stores",43.9,47.6,51.1,55.1,58.8,62.3
46,"    General merchandise stores",30.3,33.0,35.7,39.1,42.3,45.4
47,"    Other retail",116.2,125.8,134.9,145.7,155.7,165.2
48,Transportation and warehousing,508.4,507.4,521.5,538.4,555.0,563.4
49,"    Air transportation",65.6,68.2,69.3,73.3,77.1,81.6
50,"    Railroad transportation",226.4,220.8,227.4,229.7,235.2,236.3
51,"    Water transportation",30.5,31.0,30.7,31.1,31.3,31.3
52,"    Truck transportation",33.1,34.4,36.7,39.8,40.9,40.7
53,"    Transit and ground passenger transportation",19.4,19.6,20.7,21.7,22.7,23.3
54,"    Pipeline transportation",42.8,42.3,43.9,45.9,47.5,48.0
55,"    Other transportation and support activities 2",79.7,79.8,81.3,84.7,87.5,89.0
56,"    Warehousing and storage",10.8,11.2,11.7,12.2,12.7,13.1
57,Information,457.1,488.0,521.4,563.0,612.4,651.1
58,"    Publishing industries (includes software)",39.4,43.0,47.3,52.1,57.3,63.1
59,"    Motion picture and sound recording industries",58.5,64.6,71.7,77.8,86.6,94.3
60,"    Broadcasting and telecommunications",354.4,374.8,396.1,426.0,460.8,485.1
61,"    Information and data processing services",4.8,5.6,6.3,7.1,7.8,8.6
62,Finance and insurance,228.4,263.1,295.8,333.5,373.9,409.9
63,"    Federal Reserve banks",1.5,1.6,1.8,1.9,2.0,2.1
64,"    Credit intermediation and related activities",156.6,177.4,195.8,218.4,242.6,263.7
65,"        Depository credit intermediation",105.7,117.3,128.0,141.6,155.0,166.3
66,"        Other intermediation",8.1,9.1,10.1,11.3,12.8,14.1
67,"        Nondepository credit intermediation",42.8,51.0,57.7,65.4,74.8,83.3
68,"    Securities, commodity contracts, and investments",24.0,30.3,37.1,44.0,50.1,54.3
69,"    Insurance carriers and related activities",42.8,49.7,56.5,64.0,73.3,83.3
70,"        Insurance carriers",37.2,43.8,50.3,57.2,65.9,75.2
71,"        Insurance agencies and brokers and related services",5.6,5.9,6.2,6.7,7.4,8.0
72,"    Funds, trusts, and other financial vehicles",3.6,4.1,4.6,5.2,5.9,6.5
73,Real estate and rental and leasing,4584.4,4962.6,5297.3,5638.6,5955.7,6191.3
74,"    Real estate",4541.6,4916.4,5247.2,5584.1,5898.1,6131.6
75,"    Rental and leasing services and lessors of intangible assets 3",42.8,46.3,50.1,54.5,57.6,59.8
76,"Professional, scientific, and technical services",73.4,82.7,92.3,103.1,113.7,123.8
77,"    Legal services",9.0,10.0,10.8,11.6,12.3,13.3
78,"    Computer systems design and related services",8.0,9.6,11.2,12.9,14.2,15.3
79,"    Miscellaneous professional, scientific, and technical services 4",56.4,63.1,70.3,78.6,87.2,95.3
80,Management of companies and enterprises 5,126.4,138.1,149.2,160.9,172.8,182.3
81,Administrative and waste management services,46.2,53.3,61.5,68.0,74.9,80.6
82,"    Administrative and support services",18.0,20.9,23.5,26.4,29.3,31.8
83,"    Waste management and remediation services",28.1,32.4,38.0,41.6,45.6,48.7
84,Educational services,78.7,83.8,90.2,95.9,102.2,108.1
85,Health and social assistance,275.2,297.6,320.8,346.1,373.1,400.1
86,"    Ambulatory health care services",80.0,88.2,96.5,105.6,114.9,124.4
87,"    Hospitals",175.4,187.8,200.9,215.3,230.8,246.4
88,"    Nursing and residential care facilities",10.4,11.3,12.3,13.4,14.6,15.8
