Table 3.7E. Investment in Private Equipment by Industry
Table 3.7E. Investment in Private Equipment by Industry
"Last Revised on: September 26, 2025"
Line,,1985,1986,1987,1988,1989,1990
,,,,,,,
1,"        Private fixed assets",307.6,313.0,317.7,346.6,371.3,369.8
2,"Agriculture, forestry, fishing, and hunting",11.1,10.3,10.0,12.7,14.8,16.2
3,"    Farms 1",9.1,8.4,8.2,10.9,12.8,13.6
4,"    Forestry, fishing, and related activities",1.9,1.8,1.8,1.8,2.0,2.6
5,Mining,13.3,9.0,8.0,10.5,9.9,9.5
6,"    Oil and gas extraction",5.7,3.6,3.2,3.6,3.7,3.5
7,"    Mining, except oil and gas",3.8,3.1,2.7,4.4,3.4,3.4
8,"    Support activities for mining",3.7,2.3,2.1,2.6,2.7,2.6
9,Utilities,27.6,28.2,25.0,24.5,23.2,25.3
10,"    Electric power",23.4,23.3,19.7,18.7,16.8,18.9
11,"    Natural gas distribution",3.3,3.5,3.6,4.2,4.6,4.6
12,"    Water, sewage, and other systems",1.0,1.5,1.7,1.6,1.8,1.7
13,Construction,6.6,6.7,6.2,6.5,8.7,8.4
14,Manufacturing,72.2,67.3,67.8,70.9,84.1,89.6
15,"    Durable goods",41.1,37.3,37.6,36.0,42.3,44.0
16,"    Wood products",1.4,1.4,1.5,1.4,1.7,1.6
17,"    Nonmetallic mineral products",2.8,2.5,2.6,2.2,2.9,2.7
18,"    Primary metals",4.4,3.0,3.6,4.2,4.8,5.0
19,"    Fabricated metal products",4.4,4.4,4.5,4.2,4.7,4.9
20,"    Machinery",5.0,4.2,4.3,4.3,4.8,5.1
21,"    Computer and electronic products",8.9,7.8,7.8,8.4,9.7,10.1
22,"    Electrical equipment, appliances, and components",3.0,2.6,2.1,2.3,2.6,2.7
23,"    Motor vehicles, bodies and trailers, and parts",5.3,5.4,5.3,3.2,4.9,5.6
24,"    Other transportation equipment",3.2,3.5,3.1,3.0,2.9,3.2
25,"    Furniture and related products",0.5,0.5,0.6,0.6,0.7,0.7
26,"    Miscellaneous manufacturing",2.1,1.9,2.3,2.3,2.6,2.4
27,"        Medical equipment and supplies",1.4,1.2,1.6,1.6,1.7,1.6
28,"        Other manufacturing",0.6,0.7,0.7,0.7,0.8,0.8
29,"    Nondurable goods",31.1,30.0,30.2,34.9,41.8,45.7
30,"        Food and beverage and tobacco products",7.4,7.2,7.0,7.6,8.6,9.2
31,"            Food manufacturing",5.8,5.7,5.7,6.1,7.0,7.6
32,"            Beverage and tobacco product manufacturing",1.6,1.6,1.3,1.4,1.6,1.6
33,"        Textile mills and textile product mills",1.8,1.6,1.9,2.2,2.4,2.4
34,"        Apparel and leather and allied products",0.5,0.5,0.5,0.5,0.6,0.6
35,"        Paper products",5.8,5.5,5.1,6.8,8.8,10.2
36,"        Printing and related support activities",2.3,2.3,2.5,2.6,2.8,3.0
37,"        Petroleum and coal products",3.1,3.1,2.9,2.8,3.2,3.6
38,"        Chemical products",6.9,6.8,7.1,9.0,10.9,12.2
39,"        Plastics and rubber products",3.2,3.0,3.3,3.4,4.4,4.4
40,Wholesale trade,23.3,23.9,22.7,23.8,23.3,20.9
41,"    Durable goods",18.8,19.2,18.6,19.6,19.3,17.5
42,"    Nondurable goods",4.5,4.7,4.1,4.2,4.0,3.4
43,Retail trade,12.2,13.5,14.2,15.1,16.1,15.3
44,"    Motor vehicle and parts dealers",2.5,2.7,2.7,2.9,3.1,3.0
45,"    Food and beverage stores",2.1,2.3,2.5,2.6,2.8,2.7
46,"    General merchandise stores",1.9,2.2,2.4,2.5,2.6,2.5
47,"    Other retail",5.7,6.3,6.7,7.1,7.5,7.1
48,Transportation and warehousing,20.7,20.3,21.0,24.2,22.9,21.0
49,"    Air transportation",4.4,4.4,3.9,4.8,4.6,5.3
50,"    Railroad transportation",1.2,0.8,0.8,1.4,1.9,1.5
51,"    Water transportation",1.9,1.9,1.6,1.9,1.6,1.7
52,"    Truck transportation",6.4,6.1,7.4,7.5,6.9,5.1
53,"    Transit and ground passenger transportation",0.7,0.8,0.9,1.3,0.9,0.7
54,"    Pipeline transportation",1.1,1.0,1.0,1.3,1.3,1.4
55,"    Other transportation and support activities 2",4.6,4.8,4.9,5.4,5.0,4.7
56,"    Warehousing and storage",0.4,0.5,0.6,0.7,0.6,0.6
57,Information,26.9,29.9,31.3,35.1,35.9,36.6
58,"    Publishing industries (includes software)",3.0,3.1,3.4,3.6,3.9,4.2
59,"    Motion picture and sound recording industries",1.0,1.0,1.2,1.5,1.7,1.7
