Table 3.7ESI. Investment in Private Fixed Assets by Industry
Table 3.7ESI. Investment in Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,1985,1986,1987,1988,1989,1990
,,,,,,,
1,"        Private fixed assets",802.4,830.6,857.9,910.6,961.8,972.0
2,"Agriculture, forestry, fishing, and hunting",12.9,11.6,11.7,14.7,16.7,18.3
3,"    Farms 1",10.6,9.5,9.6,12.6,14.5,15.5
4,"    Forestry, fishing, and related activities",2.3,2.1,2.1,2.0,2.2,2.9
5,Mining,44.6,26.6,22.9,28.4,27.1,30.4
6,"    Oil and gas extraction",33.5,19.0,16.4,19.5,18.8,22.0
7,"    Mining, except oil and gas",5.9,4.4,3.7,5.5,4.7,4.9
8,"    Support activities for mining",5.2,3.2,2.9,3.4,3.6,3.6
9,Utilities,48.5,48.5,45.5,40.8,40.9,46.0
10,"    Electric power",40.0,39.5,35.9,30.4,29.1,33.6
11,"    Natural gas distribution",6.9,7.0,7.1,8.2,9.4,10.0
12,"    Water, sewage, and other systems",1.6,2.1,2.5,2.2,2.4,2.5
13,Construction,7.6,7.7,7.4,8.1,10.6,10.4
14,Manufacturing,146.1,140.4,142.6,150.2,172.0,182.6
15,"    Durable goods",91.6,88.4,88.8,89.2,99.9,103.6
16,"    Wood products",1.8,1.8,1.9,1.8,2.1,2.0
17,"    Nonmetallic mineral products",4.6,4.2,4.3,4.0,4.8,4.8
18,"    Primary metals",6.4,4.6,5.2,5.9,6.9,7.4
19,"    Fabricated metal products",6.9,6.7,6.7,6.5,7.4,7.8
20,"    Machinery",10.5,9.0,8.9,9.3,10.7,11.4
21,"    Computer and electronic products",24.4,23.3,24.1,25.8,27.9,29.3
22,"    Electrical equipment, appliances, and components",5.2,5.0,4.0,4.5,5.0,5.3
23,"    Motor vehicles, bodies and trailers, and parts",13.6,15.0,14.5,12.5,15.5,16.3
24,"    Other transportation equipment",12.5,13.5,13.3,12.9,13.0,12.5
25,"    Furniture and related products",0.8,0.9,0.9,1.0,1.1,1.0
26,"    Miscellaneous manufacturing",4.7,4.4,5.0,5.0,5.6,5.8
27,"        Medical equipment and supplies",3.0,2.7,3.2,3.2,3.6,3.7
28,"        Other manufacturing",1.8,1.7,1.8,1.8,2.0,2.1
29,"    Nondurable goods",54.5,52.0,53.8,60.9,72.1,79.0
30,"        Food and beverage and tobacco products",11.4,11.2,10.8,11.6,13.3,14.3
31,"            Food manufacturing",8.9,8.8,8.4,9.4,10.8,11.8
32,"            Beverage and tobacco product manufacturing",2.5,2.4,2.4,2.2,2.5,2.5
33,"        Textile mills and textile product mills",2.4,2.1,2.5,2.8,3.0,3.1
34,"        Apparel and leather and allied products",0.9,0.9,0.9,0.9,1.1,1.1
35,"        Paper products",7.2,7.0,6.6,8.3,10.8,12.3
36,"        Printing and related support activities",3.1,3.0,3.1,3.4,3.8,3.9
37,"        Petroleum and coal products",7.2,6.1,5.9,6.0,6.9,7.5
38,"        Chemical products",17.7,17.5,19.5,23.1,27.1,30.7
39,"        Plastics and rubber products",4.7,4.3,4.5,4.9,6.1,6.1
40,Wholesale trade,30.2,30.1,28.7,30.0,29.9,27.8
41,"    Durable goods",22.8,22.8,22.1,23.4,23.3,21.8
42,"    Nondurable goods",7.4,7.3,6.6,6.7,6.6,6.0
43,Retail trade,25.4,27.6,28.5,31.9,35.2,34.5
44,"    Motor vehicle and parts dealers",5.8,6.3,6.3,7.3,8.0,7.9
45,"    Food and beverage stores",4.4,4.7,4.9,5.3,5.8,5.7
46,"    General merchandise stores",3.4,3.7,4.0,4.6,5.1,5.1
47,"    Other retail",11.8,12.8,13.2,14.7,16.2,15.8
48,Transportation and warehousing,27.3,25.7,26.3,29.6,28.9,27.5
49,"    Air transportation",5.5,5.5,5.0,6.2,5.9,6.4
50,"    Railroad transportation",5.0,3.6,3.2,3.7,4.5,4.1
51,"    Water transportation",2.1,2.1,1.7,2.0,1.8,1.9
52,"    Truck transportation",6.6,6.2,7.5,7.6,7.1,5.4
53,"    Transit and ground passenger transportation",1.1,1.2,1.4,1.7,1.6,1.5
54,"    Pipeline transportation",1.5,1.5,1.6,1.8,1.7,1.9
55,"    Other transportation and support activities 2",5.1,5.2,5.3,5.8,5.5,5.4
56,"    Warehousing and storage",0.5,0.5,0.7,0.8,0.8,0.8
57,Information,61.5,68.2,70.6,78.1,83.5,88.4
