Industry,net_stock,Year,investment_equipment,investment_fixed_assets,Group,investment_equipment_rate,investment_fixed_assets_rate,treated,post,did,log_net_stock,equipment_share,trend
Ambulatory health care services,26.3,1975,1.8,2.4,Healthcare,0.06844106463878327,0.09125475285171102,0,0,0,3.3068867021909143,0.75,0
Ambulatory health care services,28.5,1976,2.1,2.7,Healthcare,0.0736842105263158,0.09473684210526316,0,0,0,3.3843902633457743,0.7777777777777778,1
Ambulatory health care services,31.8,1977,2.5,3.1,Healthcare,0.07861635220125786,0.09748427672955975,0,0,0,3.490428515390098,0.8064516129032258,2
Ambulatory health care services,35.8,1978,3.0,3.8,Healthcare,0.08379888268156425,0.10614525139664804,0,0,0,3.6054978451748854,0.7894736842105263,3
Ambulatory health care services,41.1,1979,3.2,4.3,Healthcare,0.07785888077858881,0.10462287104622871,0,0,0,3.7400477406883357,0.744186046511628,4
Ambulatory health care services,47.1,1980,3.6,5.1,Healthcare,0.07643312101910828,0.10828025477707005,0,0,0,3.8732821771117156,0.7058823529411765,5
Ambulatory health care services,53.2,1981,4.4,6.6,Healthcare,0.08270676691729323,0.12406015037593984,0,1,0,3.9926809084456005,0.6666666666666667,6
Ambulatory health care services,59.6,1982,5.4,8.6,Healthcare,0.09060402684563759,0.1442953020134228,0,1,0,4.104294893075269,0.6279069767441862,7
Ambulatory health care services,66.1,1983,6.4,9.9,Healthcare,0.0968229954614221,0.1497730711043873,0,1,0,4.206184043977636,0.6464646464646465,8
Ambulatory health care services,73.4,1984,7.0,11.3,Healthcare,0.09536784741144413,0.1539509536784741,0,1,0,4.309455941839047,0.6194690265486725,9
Ambulatory health care services,80.0,1985,6.9,12.1,Healthcare,0.08625000000000001,0.15125,0,1,0,4.394449154672439,0.5702479338842976,10
Ambulatory health care services,88.2,1986,7.6,13.2,Healthcare,0.08616780045351473,0.14965986394557823,0,1,0,4.490881039585964,0.5757575757575758,11
Ambulatory health care services,96.5,1987,8.5,14.8,Healthcare,0.08808290155440414,0.1533678756476684,0,1,0,4.579852378003801,0.5743243243243243,12
